Business and Finance,Investment Decision-Making Routine,$,random,Returns,Investment Strategies
Source,Target,Value
Moderate Return,Day Trading,5158
Moderate Return,Value Investing,7860
Moderate Return,Index Fund Investing,5775
Moderate Return,Growth Investing,8116
Low Return,Day Trading,6800
Low Return,Value Investing,6452
Low Return,Index Fund Investing,7430
Low Return,Growth Investing,3209
Negative Return,Day Trading,4559
Negative Return,Value Investing,2987
Negative Return,Index Fund Investing,6649
Negative Return,Growth Investing,4586
