Agriculture and Food Production,Agriculture Production Distribution by Category (2021),%
parent,child,value
,Crop Systems,100.0
Crop Systems,Precision Planting,85.43
Precision Planting,Seeders,19.35
Seeders,Row Units,19.35
Row Units,Depth Control,19.35
Depth Control,Parallel Linkages,13.66
Depth Control,Pressure Sensors,5.69
Precision Planting,Fertigation Systems,66.08
Fertigation Systems,Dosing Mechanisms,66.08
Dosing Mechanisms,Venturi Injectors,66.08
Venturi Injectors,Flow Calibration,20.56
Venturi Injectors,Anti-Clog Nozzles,45.52
Crop Systems,Irrigation Tech,14.57
Irrigation Tech,Pivot Systems,5.21
Irrigation Tech,Drip Networks,9.36
Drip Networks,Emitter Design,9.36
Emitter Design,Pressure Compensating,9.36
Pressure Compensating,Silicone Diaphragms,9.36
