Sports and Entertainment,Sports Distribution by Category (2022),%
parent,child,value
,Training Tech,100.0
Training Tech,Biomechanics,75.05
Biomechanics,Motion Capture,41.49
Motion Capture,Wearables,29.34
Wearables,IMU Sensors,29.34
IMU Sensors,9-Axis Tracking,10.27
IMU Sensors,Pressure Mapping,19.07
Motion Capture,Optical Systems,12.15
Optical Systems,Infrared Markers,12.15
Infrared Markers,3D Reconstruction,6.89
Infrared Markers,Motion Blur Correction,5.26
Biomechanics,Gait Analysis,33.56
Gait Analysis,Foot Strike,33.56
Foot Strike,Plantar Pressure,33.56
Plantar Pressure,Midsole Sensors,13.43
Plantar Pressure,Shear Force Detection,20.13
Training Tech,Force Analysis,24.95
Force Analysis,EMG Systems,11.69
EMG Systems,Wireless Sensors,11.69
Wireless Sensors,Signal Processing,11.69
Signal Processing,Noise Filtering,5.59
Signal Processing,Peak Detection,6.1
Force Analysis,Force Plates,13.26
Force Plates,Piezoelectric,13.26
Piezoelectric,Calibration,13.26
Calibration,Temperature Drift,7.23
Calibration,Nonlinearity Correction,6.03
