Retail and E-commerce,E-commerce Distribution by Category (2022),%
parent,child,value
,Platform Architecture,100.0
Platform Architecture,Payment Systems,47.36
Payment Systems,Fraud Detection,28.58
Fraud Detection,ML Models,28.58
ML Models,Behavior Analysis,18.87
Behavior Analysis,Session Tracking,10.89
Behavior Analysis,Device Fingerprinting,7.98
ML Models,Anomaly Detection,9.71
Anomaly Detection,Isolation Forest,9.71
Payment Systems,Gateway APIs,18.78
Gateway APIs,Tokenization,18.78
Tokenization,PCI Compliance,18.78
PCI Compliance,Vaultless Systems,9.63
PCI Compliance,HSM Integration,9.15
Platform Architecture,Recommendation Engines,52.64
Recommendation Engines,Collaborative Filtering,18.54
Collaborative Filtering,Matrix Factorization,18.54
Matrix Factorization,SVD Algorithms,18.54
SVD Algorithms,Parallel Computing,10.07
SVD Algorithms,GPU Acceleration,8.47
Recommendation Engines,Real-Time Prediction,34.1
Real-Time Prediction,Stream Processing,34.1
Stream Processing,Kafka Pipelines,34.1
Kafka Pipelines,Exactly-Once Semantics,18.94
Kafka Pipelines,Stateful Operators,15.16
