Sports and Entertainment,Sports Distribution by Category (2024),%
parent,child,value
Root,Sports Media and Tech,26.75
Sports Media and Tech,Sports Technology,18.03
Sports Technology,Wearables,10.33
Wearables,Fitness Trackers,5.29
Wearables,Heart Rate Monitors,5.04
Sports Technology,Analytics Tools,7.7
Sports Media and Tech,Live Broadcasting,8.72
Root,Fitness and Wellness,50.92
Fitness and Wellness,Outdoor Activities,27.57
Outdoor Activities,Cycling Groups,14.83
Outdoor Activities,Running Clubs,12.74
Running Clubs,City Runs,7.16
Running Clubs,Trail Runs,5.58
Fitness and Wellness,Personal Training,23.35
Personal Training,Yoga and Meditation,23.35
Yoga and Meditation,Vinyasa Flow,23.35
Root,Competitive Sports,22.32
Competitive Sports,Team Sports,22.32
