Transportation and Logistics,Manufacturing Supply Transportation Chain,Goods,random,Warehouse,Factory,Assembly
Source,Target,Value
Central Warehouse,Food Processing Plant,159
Central Warehouse,Electronics Plant,424
Central Warehouse,Chemical Plant,264
Central Warehouse,Auto Factory,193
Central Warehouse,Textile Mill,356
Spare Parts Depot,Food Processing Plant,311
Spare Parts Depot,Electronics Plant,56
Spare Parts Depot,Chemical Plant,42
Spare Parts Depot,Auto Factory,384
Spare Parts Depot,Textile Mill,166
Bulk Storage,Food Processing Plant,417
Bulk Storage,Electronics Plant,137
Bulk Storage,Chemical Plant,294
Bulk Storage,Auto Factory,44
Bulk Storage,Textile Mill,327
Cold Storage,Food Processing Plant,40
Cold Storage,Electronics Plant,18
Cold Storage,Chemical Plant,23
Cold Storage,Auto Factory,101
Cold Storage,Textile Mill,71
Regional Warehouse A,Food Processing Plant,237
Regional Warehouse A,Electronics Plant,86
Regional Warehouse A,Chemical Plant,180
Regional Warehouse A,Auto Factory,179
Regional Warehouse A,Textile Mill,28
Food Processing Plant,Quality Check,401
Food Processing Plant,Component Assembly,78
Food Processing Plant,Labeling,311
Food Processing Plant,Test Facility,172
Food Processing Plant,Packaging Line,202
Electronics Plant,Quality Check,94
Electronics Plant,Component Assembly,178
Electronics Plant,Labeling,97
Electronics Plant,Test Facility,255
Electronics Plant,Packaging Line,97
Chemical Plant,Quality Check,204
Chemical Plant,Component Assembly,30
Chemical Plant,Labeling,153
Chemical Plant,Test Facility,155
Chemical Plant,Packaging Line,261
Auto Factory,Quality Check,244
Auto Factory,Component Assembly,201
Auto Factory,Labeling,221
Auto Factory,Test Facility,110
Auto Factory,Packaging Line,125
Textile Mill,Quality Check,39
Textile Mill,Component Assembly,336
Textile Mill,Labeling,221
Textile Mill,Test Facility,204
Textile Mill,Packaging Line,148
