Tourism and Hospitality,Regional Tourist Flow Connections
Source Node Index,Source Node Name,Target Node Index,Target Node Name,Relation Type
0,Paris Historical Spot,4,Santorini Scenic Viewpoint,hotel_chain_membership
0,Paris Historical Spot,3,Rome Ancient Ruins,hotel_chain_membership
0,Paris Historical Spot,5,Bali Beach Resort,hotel_chain_membership
0,Paris Historical Spot,1,Kyoto Temple Area,shared_transport
0,Paris Historical Spot,8,Cairo Pyramid Zone,tourism_package_link
1,Kyoto Temple Area,6,Beijing Forbidden Site,sightseeing_bus_connection
1,Kyoto Temple Area,5,Bali Beach Resort,tourism_package_link
1,Kyoto Temple Area,4,Santorini Scenic Viewpoint,shared_transport
1,Kyoto Temple Area,7,London Royal Garden,shared_transport
1,Kyoto Temple Area,2,New York City Landmark,shared_transport
2,New York City Landmark,4,Santorini Scenic Viewpoint,shared_transport
2,New York City Landmark,7,London Royal Garden,hotel_chain_membership
2,New York City Landmark,0,Paris Historical Spot,tour_route
2,New York City Landmark,9,Venice Canal District,sightseeing_bus_connection
2,New York City Landmark,5,Bali Beach Resort,shared_transport
