Energy and Utilities,Energy Distribution by Category (2024),%
parent,child,value
,Power Generation,100.0
Power Generation,Nuclear Plants,44.85
Nuclear Plants,Reactor Types,44.85
Reactor Types,Pressurized Water,32.92
Pressurized Water,Coolant Systems,32.92
Coolant Systems,Steam Generators,10.95
Coolant Systems,Pressurizers,21.97
Reactor Types,Boiling Water,11.93
Boiling Water,Containment,11.93
Containment,Suppression Pool,5.3
Containment,Drywell Venting,6.63
Power Generation,Renewable Farms,55.15
Renewable Farms,Solar Arrays,46.48
Solar Arrays,Tracking Systems,46.48
Tracking Systems,Single-Axis,19.44
Single-Axis,Drivetrain,19.44
Drivetrain,AC Motors,5.83
Drivetrain,PLC Controllers,13.61
Tracking Systems,Dual-Axis,27.04
Dual-Axis,Azimuth Control,27.04
Azimuth Control,GPS Alignment,16.63
Azimuth Control,Optical Sensors,10.41
Renewable Farms,Wind Turbines,8.67
Wind Turbines,Blade Design,8.67
Blade Design,Composite Materials,8.67
Composite Materials,Aerodynamic Testing,8.67
